Neighborhood,Ward,Total Population,Population Male,Population Female,Sex Ratio,No.of Houses,Area Hectare,Population Density
Nyay Nagar,91,8078,4187,3891,929,1406,4.56,1771
Balkrushna Nagar,92,9297,4847,4450,918,1664,9.58,970
Garkheda,93,7307,3969,3338,841,1416,7.65,955
Ulkanagari,94,11326,5722,5604,979,2362,8.32,1361
Jai Vishwa Bharti Colony,95,8809,4535,4274,942,1809,6.54,1346
Jyoti Nagar,96,8822,4533,4289,946,1614,4.23,2085
Eknathnagar,97,7045,3547,3498,986,1301,10.25,687
Shahnoorwadi,98,14313,7258,7055,972,2639,4.89,2926
Vedant Nagar,99,16272,8551,7721,903,3774,5.92,2748
Bansilal Nagar,100,14910,7425,7485,1008,1247,13.2,1129
Railway Station,101,16620,8410,8210,976,578,9.5,1749
Rahul Nagar,102,6364,3240,3124,964,587,9.4,677
Itkheda,103,16796,8475,8321,982,1101,25.4,661
Kanchanwadi,104,14999,7510,7489,997,1541,30.1,498
Nakshtrawadi,104,13648,6874,6774,985,2012,23.4,583
Sudhakar Nagar,105,5681,2897,2784,961,451,13.2,430
Pratap nagar,106,7031,3542,3489,985,498,10.2,689
Mayurban Colony,107,8368,4254,4114,967,840,12.1,691
Gadia Vihar,108,20136,10124,10012,989,1480,24.01,838
Kabra Nagar,109,15509,7854,7655,975,970,21.25,729
Shivaji Nagar,110,17086,8574,8512,993,1401,18.24,936
Bharat Nagar,111,7031,3542,3489,985,498,10.2,689
Deolai,112,22443,11455,10988,959,3514,34.01,659
Hari Om Nagar,113,8823,4524,4299,950,1011,20.1,438
Sangram Nagar,114,20276,10154,10122,997,980,21.01,965
Satara Parisar,115,35995,18015,17980,998,5402,61.02,589
Waluj,116,31000,15550,15450,994,2340,32,969
Aurangabad Cantonment,117,22000,11400,10600,930,120,38.2,576
Dharmapur,118,4657,2347,2310,984,1012,12.3,379
Bajaj Nagar,119,25007,12487,12520,1003,4253,34.2,732
