Neighborhood,Ward,Latitude,Longitude,Borough,Total Population,Population Male,Population Female,Sex Ratio,No.of Houses,Area Hectare,Population Density,Avg. Price,SqftPrice Min,SqftPrice Max,Properties
Shrikrishna Nagar,40,19.862102399999998,75.3357433,S-A,8870,4529,4341,958,1465,34.36,258,1798,1241,2354,2
Shivneri Colony,41,19.898044600000002,75.3590053,NE-A,9506,4860,4646,956,1620,55.39,171,1167,980,1354,1
Ayodhya Nagar,42,19.895519399999998,75.3594708,NE-A,11168,5741,5427,945,1831,36.87,302,3998,3454,4541,2
Ganesh Nagar,43,19.8639656,75.350648,S-A,8455,4329,4126,953,1321,36.93,228,2911,1247,4574,1
Rahemania Colony,44,19.8878863,75.3464216,NE-A,12448,6421,6027,939,2101,60.66,205,3892,1241,6542,1
Datta Nagar,45,19.8487945,75.2107492,C-A,11397,5915,5482,927,2019,79.92,142,2393,1245,3541,1
Kiradpura,46,19.8854671,75.3456751,NE-A,10973,5641,5332,945,1841,36.87,297,2353,2148,2558,1
Roshan Gate,47,19.8879554,75.3429077,NE-A,6697,3652,3045,834,1602,45.1,148,2230,1245,3214,0
Sharif Colony,47,19.890082999999997,75.3420109,NE-A,10697,5652,5045,893,2323,92.1,116,2343,1235,3451,2
Kaiser Colony,48,19.8861085,75.3398613,NE-A,8984,4768,4216,884,1934,58.91,152,1682,998,2365,4
Nawabpura,49,19.884692,75.3361462,C-A,11447,5918,5529,934,2659,33.21,344,1909,1254,2563,2
Moti Karanja,50,19.884105899999998,75.3314838,C-A,9700,5094,4606,904,2150,33.22,291,4771,4215,5326,2
Auarangpura,51,19.8823216,75.3238076,C-A,10524,5426,5098,940,1883,49.89,210,4176,3515,4836,3
Nageshwarwadi,52,19.882350600000002,75.3196209,C-A,15000,7589,7411,977,1201,18.2,824,9321,8755,9887,1
Naralibag,52,19.889129,75.31696,C-A,15586,8045,7541,937,1458,41.2,378,4792,3333,6250,5
Samarth Nagar,53,19.8787005,75.3180298,C-A,11231,5854,5377,919,1826,40.57,276,4593,4347,4838,2
Sillikhana,54,19.8776273,75.3258196,C-A,12270,6362,5908,929,2273,27.63,444,10030,9815,10245,3
Gandhi Nagar,55,19.866639499999998,75.3136693,S-A,10019,5100,4919,965,1668,33.18,301,2663,2110,3215,1
